,Velocity,Power,Order
35,1100.0,380.0,0
46,1400.0,380.0,1
21,800.0,310.0,2
5,500.0,185.0,3
31,1100.0,280.0,4
16,800.0,185.0,5
7,500.0,235.0,6
43,1400.0,305.0,7
40,1400.0,230.0,8
39,1400.0,205.0,9
38,1400.0,180.0,10
37,1400.0,155.0,11
10,500.0,310.0,12
42,1400.0,280.0,13
19,800.0,260.0,14
13,800.0,110.0,15
47,1400.0,405.0,16
26,1100.0,155.0,17
0,500.0,60.0,18
30,1100.0,255.0,19
22,800.0,335.0,20
41,1400.0,255.0,21
34,1100.0,355.0,22
27,1100.0,180.0,23
11,500.0,335.0,24
24,1100.0,105.0,25
6,500.0,210.0,26
9,500.0,285.0,27
17,800.0,210.0,28
14,800.0,135.0,29
18,800.0,235.0,30
36,1400.0,130.0,31
28,1100.0,205.0,32
3,500.0,135.0,33
23,800.0,360.0,34
4,500.0,160.0,35
20,800.0,285.0,36
45,1400.0,355.0,37
2,500.0,110.0,38
8,500.0,260.0,39
25,1100.0,130.0,40
1,500.0,85.0,41
33,1100.0,330.0,42
32,1100.0,305.0,43
29,1100.0,230.0,44
15,800.0,160.0,45
12,800.0,85.0,46
44,1400.0,330.0,47
